Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Max Heart Rate,Relative Effort,Filename,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Average Elapsed Speed,Dirt Distance,Total Steps,Average Grade Adjusted Pace,temperature_2m,relative_humidity_2m,wind_speed_10m,workout_style
17559528331,2026-03-01 09:36:43,Morning Run,Run,,1670,173.0,38.0,activities/18657200610.fit.gz,1628.0,4004.2,3.683,2.46,7.4,8.9,10.4,17.9,5.6,0.0,79.0,76.0,158.0,256.0,4010.8,,,,,,,,,,,,,,,,,,,2.398,418.4,4128.0,2.464,26.9,88,7.0,Steady State
17525155451,2026-02-26 08:50:17,Morning Run,Run,Tempo,887,197.0,48.0,activities/18622604323.fit.gz,887.0,3005.7,4.4,3.389,3.6,3.1,11.0,14.7,1.2,0.0,80.0,76.0,182.0,175.0,3009.8,,,,,,,,,,,,,,,,,,,3.389,0.0,2254.0,3.393,23.9,99,2.7,Steady State
17525155525,2026-02-26 08:40:23,Morning Run,Run,Warmup,402,146.0,1.0,activities/18622604357.fit.gz,373.0,903.5,3.3,2.422,0.0,4.7,12.4,20.9,3.2,-0.7,79.0,76.0,131.0,51.0,897.2,,,,,,,,,,,,,,,,,,,2.248,225.5,932.0,2.405,23.9,99,2.7,Steady State
17491976754,2026-02-23 17:24:47,Afternoon Run,Run,400 × 6,1257,189.0,27.0,activities/18589336001.fit.gz,607.0,2399.3,5.2,3.953,0.0,0.0,9.3,10.2,0.9,0.0,83.0,78.0,175.0,113.0,2399.0,,,,,,,,,,,,,,,,,,,1.909,0.0,1552.0,3.952,28.7,67,3.5,Interval
17491976772,2026-02-23 17:09:46,Afternoon Run,Run,Warmup,754,169.0,10.0,activities/18589335980.fit.gz,704.0,1692.9,3.414,2.405,3.8,10.7,10.2,19.6,8.9,-0.6,79.0,76.0,150.0,106.0,1684.2,,,,,,,,,,,,,,,,,,,2.245,0.0,1780.0,2.392,28.7,67,3.5,Steady State
17459940358,2026-02-20 18:03:08,Evening Run,Run,,1707,164.0,22.0,activities/18557105285.fit.gz,1680.0,4000.8,2.94,2.381,15.7,17.2,9.3,19.0,6.1,-0.1,79.0,75.0,148.0,249.0,4010.4,,,,,,,,,,,,,,,,,,,2.344,0.0,4222.0,2.387,,,,Steady State
17400764819,2026-02-15 08:18:19,Morning Run,Run,,3419,172.0,70.0,activities/18497673579.fit.gz,3255.0,8002.6,3.66,2.459,22.3,21.2,10.9,18.9,3.4,0.0,79.0,77.0,157.0,502.0,8026.1,,,,,,,,,,,,,,,,,,,2.341,1384.6,8288.0,2.466,,,,Steady State
17382249130,2026-02-13 17:55:38,Afternoon Run,Run,400 × 6,1077,185.0,17.0,activities/18479050555.fit.gz,593.0,2400.8,4.878,4.049,2.5,2.5,9.3,12.0,2.7,0.0,83.0,79.0,164.0,104.0,2402.8,,,,,,,,,,,,,,,,,,,2.229,0.0,1546.0,4.052,,,,Interval
17382249176,2026-02-13 17:41:42,Afternoon Run,Run,Warmup,546,151.0,2.0,activities/18479050496.fit.gz,526.0,1248.7,3.457,2.374,0.0,5.8,10.2,17.0,18.3,-0.5,78.0,75.0,133.0,73.0,1239.1,,,,,,,,,,,,,,,,,,,2.287,0.0,1314.0,2.356,,,,Steady State
17348506753,2026-02-10 17:53:57,Afternoon Run,Run,Felt like shit,113,160.0,1.0,activities/18445219232.fit.gz,113.0,409.8,4.157,3.627,0.0,0.0,9.3,10.0,0.7,0.1,82.0,79.0,142.0,18.0,410.7,,,,,,,,,,,,,,,,,,,3.627,0.0,304.0,3.635,,,,Steady State
